button_pressed,rt,stimulus,time_elapsed,trial_type,pid
0.0,782.0,"
				<h1>Instructions Complete</h1>

				You're now ready to begin seeing robots and predicting where they are from.
				You will see 18 robots in total.
				Remember, you earn one cent for each correct prediction. Good luck!
			",8163,button-response,14
0.0,886.0,[u'<p>Thanks so much for participating in this research.</p>Your final bonus is $0.12'],110059,button-response,14
0.0,2949.0,"
				<h1>Instructions Complete</h1>

				You're now ready to begin seeing robots and predicting where they are from.
				You will see 18 robots in total.
				Remember, you earn one cent for each correct prediction. Good luck!
			",29491,button-response,23
0.0,1196.0,[u'<p>Thanks so much for participating in this research.</p>Your final bonus is $0.11'],130383,button-response,23
0.0,4635.0,"
				<h1>Instructions Complete</h1>

				You're now ready to begin seeing robots and predicting where they are from.
				You will see 18 robots in total.
				Remember, you earn one cent for each correct prediction. Good luck!
			",78794,button-response,13
0.0,3446.0,"
				<strong style='color: green'>Correct!</strong><br>
				The number was <b>9388760</b>.<br>
				Please keep the number in memory because we will ask you to recall it again.
			",141682,button-response,13
0.0,1741.0,[u'<p>Thanks so much for participating in this research.</p>Your final bonus is $0.12'],222562,button-response,13
0.0,7117.0,"
				<h1>Instructions Complete</h1>

				You're now ready to begin seeing robots and predicting where they are from.
				You will see 18 robots in total.
				Remember, you earn one cent for each correct prediction. Good luck!
			",97945,button-response,9
0.0,2688.0,"
				<strong style='color: green'>Correct!</strong><br>
				The number was <b>3073663</b>.<br>
				Please keep the number in memory because we will ask you to recall it again.
			",162026,button-response,9
0.0,2866.0,[u'<p>Thanks so much for participating in this research.</p>Your final bonus is $0.12'],258317,button-response,9
0.0,1762.0,"
				<h1>Instructions Complete</h1>

				You're now ready to begin seeing robots and predicting where they are from.
				You will see 18 robots in total.
				Remember, you earn one cent for each correct prediction. Good luck!
			",41693,button-response,5
0.0,2607.0,"
				<strong style='color: green'>Correct!</strong><br>
				The number was <b>1444584</b>.<br>
				Please keep the number in memory because we will ask you to recall it again.
			",97373,button-response,5
0.0,1299.0,[u'<p>Thanks so much for participating in this research.</p>Your final bonus is $0.12'],170463,button-response,5
0.0,1378.0,"
				<h1>Instructions Complete</h1>

				You're now ready to begin seeing robots and predicting where they are from.
				You will see 18 robots in total.
				Remember, you earn one cent for each correct prediction. Good luck!
			",43174,button-response,3
0.0,1193.0,[u'<p>Thanks so much for participating in this research.</p>Your final bonus is $0.08'],146159,button-response,3
0.0,3214.0,"
				<h1>Instructions Complete</h1>

				You're now ready to begin seeing robots and predicting where they are from.
				You will see 18 robots in total.
				Remember, you earn one cent for each correct prediction. Good luck!
			",50440,button-response,26
0.0,2447.0,"
				<strong style='color: green'>Correct!</strong><br>
				The number was <b>6489151</b>.<br>
				Please keep the number in memory because we will ask you to recall it again.
			",107841,button-response,26
0.0,1391.0,[u'<p>Thanks so much for participating in this research.</p>Your final bonus is $0.12'],182883,button-response,26
0.0,4853.0,"
				<h1>Instructions Complete</h1>

				You're now ready to begin seeing robots and predicting where they are from.
				You will see 18 robots in total.
				Remember, you earn one cent for each correct prediction. Good luck!
			",58882,button-response,22
0.0,3526.0,"
				<strong style='color: green'>Correct!</strong><br>
				The number was <b>4923816</b>.<br>
				Please keep the number in memory because we will ask you to recall it again.
			",131650,button-response,22
0.0,1517.0,[u'<p>Thanks so much for participating in this research.</p>Your final bonus is $0.09'],203914,button-response,22
0.0,2652.0,"
				<h1>Instructions Complete</h1>

				You're now ready to begin seeing robots and predicting where they are from.
				You will see 18 robots in total.
				Remember, you earn one cent for each correct prediction. Good luck!
			",40943,button-response,31
0.0,1837.0,"
				<strong style='color: green'>Correct!</strong><br>
				The number was <b>5874092</b>.<br>
				Please keep the number in memory because we will ask you to recall it again.
			",99468,button-response,31
0.0,1612.0,[u'<p>Thanks so much for participating in this research.</p>Your final bonus is $0.12'],166550,button-response,31
0.0,6028.0,"
				<h1>Instructions Complete</h1>

				You're now ready to begin seeing robots and predicting where they are from.
				You will see 18 robots in total.
				Remember, you earn one cent for each correct prediction. Good luck!
			",95024,button-response,6
0.0,10036.0,"
				<strong style='color: green'>Correct!</strong><br>
				The number was <b>7099211</b>.<br>
				Please keep the number in memory because we will ask you to recall it again.
			",161036,button-response,6
0.0,1001.0,[u'<p>Thanks so much for participating in this research.</p>Your final bonus is $0.09'],222213,button-response,6
0.0,2459.0,"
				<h1>Instructions Complete</h1>

				You're now ready to begin seeing robots and predicting where they are from.
				You will see 18 robots in total.
				Remember, you earn one cent for each correct prediction. Good luck!
			",24309,button-response,1
0.0,1308.0,[u'<p>Thanks so much for participating in this research.</p>Your final bonus is $0.09'],123627,button-response,1
0.0,2456.0,"
				<h1>Instructions Complete</h1>

				You're now ready to begin seeing robots and predicting where they are from.
				You will see 18 robots in total.
				Remember, you earn one cent for each correct prediction. Good luck!
			",56832,button-response,33
0.0,6360.0,"
				<strong style='color: red'>Incorrect!</strong><br>
				The number was <b>8814821</b>.<br>
				Please keep the number in memory because we will ask you to recall it again.
			",166970,button-response,33
0.0,1158.0,[u'<p>Thanks so much for participating in this research.</p>Your final bonus is $0.10'],251548,button-response,33
0.0,3577.0,"
				<h1>Instructions Complete</h1>

				You're now ready to begin seeing robots and predicting where they are from.
				You will see 18 robots in total.
				Remember, you earn one cent for each correct prediction. Good luck!
			",30543,button-response,32
0.0,4756.0,[u'<p>Thanks so much for participating in this research.</p>Your final bonus is $0.11'],143309,button-response,32
0.0,8038.0,"
				<h1>Instructions Complete</h1>

				You're now ready to begin seeing robots and predicting where they are from.
				You will see 18 robots in total.
				Remember, you earn one cent for each correct prediction. Good luck!
			",220434,button-response,28
0.0,18933.0,"
				<strong style='color: red'>Incorrect!</strong><br>
				The number was <b>3968845</b>.<br>
				Please keep the number in memory because we will ask you to recall it again.
			",292146,button-response,28
0.0,1150.0,[u'<p>Thanks so much for participating in this research.</p>Your final bonus is $0.12'],362064,button-response,28
0.0,4228.0,"
				<h1>Instructions Complete</h1>

				You're now ready to begin seeing robots and predicting where they are from.
				You will see 18 robots in total.
				Remember, you earn one cent for each correct prediction. Good luck!
			",38491,button-response,24
0.0,1239.0,"
				<strong style='color: green'>Correct!</strong><br>
				The number was <b>2952100</b>.<br>
				Please keep the number in memory because we will ask you to recall it again.
			",92475,button-response,24
0.0,1020.0,[u'<p>Thanks so much for participating in this research.</p>Your final bonus is $0.12'],156861,button-response,24
0.0,4996.0,"
				<h1>Instructions Complete</h1>

				You're now ready to begin seeing robots and predicting where they are from.
				You will see 18 robots in total.
				Remember, you earn one cent for each correct prediction. Good luck!
			",53452,button-response,21
0.0,2922.0,[u'<p>Thanks so much for participating in this research.</p>Your final bonus is $0.11'],204527,button-response,21
0.0,3297.0,"
				<h1>Instructions Complete</h1>

				You're now ready to begin seeing robots and predicting where they are from.
				You will see 18 robots in total.
				Remember, you earn one cent for each correct prediction. Good luck!
			",16451,button-response,4
0.0,1036.0,[u'<p>Thanks so much for participating in this research.</p>Your final bonus is $0.12'],117746,button-response,4
0.0,2509.0,"
				<h1>Instructions Complete</h1>

				You're now ready to begin seeing robots and predicting where they are from.
				You will see 18 robots in total.
				Remember, you earn one cent for each correct prediction. Good luck!
			",44766,button-response,37
0.0,1845.0,"
				<strong style='color: green'>Correct!</strong><br>
				The number was <b>1111846</b>.<br>
				Please keep the number in memory because we will ask you to recall it again.
			",103409,button-response,37
0.0,1141.0,[u'<p>Thanks so much for participating in this research.</p>Your final bonus is $0.08'],164133,button-response,37
0.0,5240.0,"
				<h1>Instructions Complete</h1>

				You're now ready to begin seeing robots and predicting where they are from.
				You will see 18 robots in total.
				Remember, you earn one cent for each correct prediction. Good luck!
			",69969,button-response,15
0.0,2542.0,"
				<strong style='color: green'>Correct!</strong><br>
				The number was <b>2765740</b>.<br>
				Please keep the number in memory because we will ask you to recall it again.
			",125938,button-response,15
0.0,1572.0,[u'<p>Thanks so much for participating in this research.</p>Your final bonus is $0.09'],189549,button-response,15
0.0,2851.0,"
				<h1>Instructions Complete</h1>

				You're now ready to begin seeing robots and predicting where they are from.
				You will see 18 robots in total.
				Remember, you earn one cent for each correct prediction. Good luck!
			",31581,button-response,7
0.0,1636.0,[u'<p>Thanks so much for participating in this research.</p>Your final bonus is $0.09'],155759,button-response,7
0.0,3208.0,"
				<h1>Instructions Complete</h1>

				You're now ready to begin seeing robots and predicting where they are from.
				You will see 18 robots in total.
				Remember, you earn one cent for each correct prediction. Good luck!
			",26270,button-response,11
0.0,1113.0,[u'<p>Thanks so much for participating in this research.</p>Your final bonus is $0.11'],128636,button-response,11
0.0,2941.0,"
				<h1>Instructions Complete</h1>

				You're now ready to begin seeing robots and predicting where they are from.
				You will see 18 robots in total.
				Remember, you earn one cent for each correct prediction. Good luck!
			",45272,button-response,17
0.0,2309.0,"
				<strong style='color: green'>Correct!</strong><br>
				The number was <b>2908832</b>.<br>
				Please keep the number in memory because we will ask you to recall it again.
			",111669,button-response,17
0.0,1045.0,[u'<p>Thanks so much for participating in this research.</p>Your final bonus is $0.08'],185599,button-response,17
0.0,6762.0,"
				<h1>Instructions Complete</h1>

				You're now ready to begin seeing robots and predicting where they are from.
				You will see 18 robots in total.
				Remember, you earn one cent for each correct prediction. Good luck!
			",37834,button-response,29
0.0,1523.0,[u'<p>Thanks so much for participating in this research.</p>Your final bonus is $0.13'],159272,button-response,29
0.0,2866.0,"
				<h1>Instructions Complete</h1>

				You're now ready to begin seeing robots and predicting where they are from.
				You will see 18 robots in total.
				Remember, you earn one cent for each correct prediction. Good luck!
			",44058,button-response,35
0.0,1150.0,[u'<p>Thanks so much for participating in this research.</p>Your final bonus is $0.12'],146074,button-response,35
0.0,3899.0,"
				<h1>Instructions Complete</h1>

				You're now ready to begin seeing robots and predicting where they are from.
				You will see 18 robots in total.
				Remember, you earn one cent for each correct prediction. Good luck!
			",48946,button-response,10
0.0,2890.0,"
				<strong style='color: green'>Correct!</strong><br>
				The number was <b>3566913</b>.<br>
				Please keep the number in memory because we will ask you to recall it again.
			",108758,button-response,10
0.0,1176.0,[u'<p>Thanks so much for participating in this research.</p>Your final bonus is $0.08'],171754,button-response,10
0.0,6078.0,"
				<h1>Instructions Complete</h1>

				You're now ready to begin seeing robots and predicting where they are from.
				You will see 18 robots in total.
				Remember, you earn one cent for each correct prediction. Good luck!
			",80463,button-response,34
