rt,time_elapsed,trial_type,view_history,pid
2595.0,2596,instructions,"[{""page_index"":0,""viewing_time"":1434},{""page_index"":1,""viewing_time"":1160}]",38
2214.0,2216,instructions,"[{""page_index"":0,""viewing_time"":1440},{""page_index"":1,""viewing_time"":774}]",39
3634.0,3634,instructions,"[{""page_index"":0,""viewing_time"":1274},{""page_index"":1,""viewing_time"":2360}]",40
6378.0,6380,instructions,"[{""page_index"":0,""viewing_time"":1996},{""page_index"":1,""viewing_time"":2167},{""page_index"":2,""viewing_time"":2215}]",14
25537.0,25537,instructions,"[{""page_index"":0,""viewing_time"":14735},{""page_index"":1,""viewing_time"":8370},{""page_index"":2,""viewing_time"":2432}]",23
45323.0,45323,instructions,"[{""page_index"":0,""viewing_time"":10603},{""page_index"":1,""viewing_time"":28736},{""page_index"":2,""viewing_time"":5983}]",13
67552.0,67553,instructions,"[{""page_index"":0,""viewing_time"":7170},{""page_index"":1,""viewing_time"":54104},{""page_index"":2,""viewing_time"":6276}]",9
8737.0,8738,instructions,"[{""page_index"":0,""viewing_time"":7704},{""page_index"":1,""viewing_time"":1032}]",41
1019.0,1020,instructions,"[{""page_index"":0,""viewing_time"":1018}]",42
1150.0,11044,instructions,"[{""page_index"":0,""viewing_time"":1150}]",42
4844.0,223740,instructions,"[{""page_index"":0,""viewing_time"":4843}]",42
22544.0,22545,instructions,"[{""page_index"":0,""viewing_time"":7183},{""page_index"":1,""viewing_time"":12938},{""page_index"":2,""viewing_time"":2422}]",5
40792.0,40792,instructions,"[{""page_index"":0,""viewing_time"":34557},{""page_index"":1,""viewing_time"":3954},{""page_index"":2,""viewing_time"":2280}]",3
25071.0,25071,instructions,"[{""page_index"":0,""viewing_time"":8003},{""page_index"":1,""viewing_time"":10536},{""page_index"":2,""viewing_time"":6532}]",26
27681.0,27681,instructions,"[{""page_index"":0,""viewing_time"":8849},{""page_index"":1,""viewing_time"":7943},{""page_index"":2,""viewing_time"":10889}]",22
24344.0,24345,instructions,"[{""page_index"":0,""viewing_time"":9344},{""page_index"":1,""viewing_time"":8889},{""page_index"":2,""viewing_time"":6110}]",31
68015.0,68016,instructions,"[{""page_index"":0,""viewing_time"":18532},{""page_index"":1,""viewing_time"":40184},{""page_index"":2,""viewing_time"":9299}]",6
20831.0,20835,instructions,"[{""page_index"":0,""viewing_time"":5268},{""page_index"":1,""viewing_time"":12550},{""page_index"":2,""viewing_time"":3012}]",1
22480.0,22482,instructions,"[{""page_index"":0,""viewing_time"":7908},{""page_index"":1,""viewing_time"":10406},{""page_index"":2,""viewing_time"":4166}]",33
25961.0,25962,instructions,"[{""page_index"":0,""viewing_time"":6711},{""page_index"":1,""viewing_time"":11427},{""page_index"":2,""viewing_time"":7823}]",32
190299.0,190300,instructions,"[{""page_index"":0,""viewing_time"":17932},{""page_index"":1,""viewing_time"":166415},{""page_index"":2,""viewing_time"":5950}]",28
23835.0,23837,instructions,"[{""page_index"":0,""viewing_time"":10045},{""page_index"":1,""viewing_time"":8963},{""page_index"":2,""viewing_time"":4825}]",24
47448.0,47451,instructions,"[{""page_index"":0,""viewing_time"":14525},{""page_index"":1,""viewing_time"":27381},{""page_index"":2,""viewing_time"":5542}]",21
12145.0,12146,instructions,"[{""page_index"":0,""viewing_time"":3764},{""page_index"":1,""viewing_time"":4689},{""page_index"":2,""viewing_time"":3691}]",4
25639.0,25640,instructions,"[{""page_index"":0,""viewing_time"":6956},{""page_index"":1,""viewing_time"":8654},{""page_index"":2,""viewing_time"":10028}]",37
35778.0,35779,instructions,"[{""page_index"":0,""viewing_time"":14364},{""page_index"":1,""viewing_time"":15529},{""page_index"":2,""viewing_time"":5884}]",15
27712.0,27713,instructions,"[{""page_index"":0,""viewing_time"":6872},{""page_index"":1,""viewing_time"":15527},{""page_index"":2,""viewing_time"":5313}]",7
22057.0,22057,instructions,"[{""page_index"":0,""viewing_time"":5735},{""page_index"":1,""viewing_time"":12318},{""page_index"":2,""viewing_time"":4002}]",11
16544.0,16544,instructions,"[{""page_index"":0,""viewing_time"":6591},{""page_index"":1,""viewing_time"":7896},{""page_index"":2,""viewing_time"":2056}]",17
30069.0,30069,instructions,"[{""page_index"":0,""viewing_time"":1563},{""page_index"":1,""viewing_time"":21968},{""page_index"":2,""viewing_time"":6533}]",29
40184.0,40186,instructions,"[{""page_index"":0,""viewing_time"":26440},{""page_index"":1,""viewing_time"":8976},{""page_index"":2,""viewing_time"":4768}]",35
19749.0,19750,instructions,"[{""page_index"":0,""viewing_time"":6378},{""page_index"":1,""viewing_time"":9253},{""page_index"":2,""viewing_time"":4117}]",10
36727.0,36730,instructions,"[{""page_index"":0,""viewing_time"":8594},{""page_index"":1,""viewing_time"":21478},{""page_index"":2,""viewing_time"":6653}]",34
5059.0,5061,instructions,"[{""page_index"":0,""viewing_time"":1464},{""page_index"":1,""viewing_time"":2392},{""page_index"":2,""viewing_time"":1201}]",20
37312.0,37314,instructions,"[{""page_index"":0,""viewing_time"":10216},{""page_index"":1,""viewing_time"":23820},{""page_index"":2,""viewing_time"":3274}]",30
