bonus,completed,guesses,number,pid,start_time,version
0.08,True,"[u'0815371', u'0815371\n', u'0815371']",0815371,0,2018-05-03T16:06:46.356Z,1.0
0.09,True,[],,1,2018-05-03T15:55:35.322Z,1.0
0.08,True,"[u'0824884', u'0824884', u'0824884']",0824884,2,2018-05-03T16:06:05.800Z,1.0
0.08,True,[],,3,2018-05-03T15:54:50.059Z,1.0
0.12,True,[],,4,2018-05-03T15:58:08.862Z,1.0
0.12,True,"[u'1444584', u'1444584', u'1444584']",1444584,5,2018-05-03T15:53:46.441Z,1.0
0.09,True,"[u'7099211', u'7099211', u'7099211']",7099211,6,2018-05-03T15:54:47.690Z,1.0
0.09,True,[],,7,2018-05-03T15:58:35.302Z,1.0
0.11,True,"[u'5014685\n\n5014685\n\n5014685\n\n5014685', u'8654', u'5014685\n\n5014685\n\n5014685']",5014685,8,2018-05-03T16:13:51.763Z,1.0
0.12,True,"[u'3073663', u'3073663', u'3073663']",3073663,9,2018-05-03T16:33:26.800Z,1.0
0.08,True,"[u'3566913', u'3566913', u'3566913']",3566913,10,2018-05-03T16:01:03.555Z,1.0
0.11,True,[],,11,2018-05-03T15:58:01.485Z,1.0
0.09,True,"[u'2674619', u'267419', u'2674619']",2674619,12,2018-05-03T16:08:26.006Z,1.0
0.12,True,"[u'9388760', u'9388760', u'9388760']",9388760,13,2018-05-03T16:24:43.617Z,1.0
0.12,True,[],,14,2018-05-03T16:24:13.353Z,1.0
0.09,True,"[u'2765740', u'2765740', u'2765740']",2765740,15,2018-05-03T15:55:53.818Z,1.0
0.12,True,"[u'4909386', u'4909386', u'4909386']",4909386,16,2018-05-03T16:03:19.778Z,1.0
0.08,True,"[u'2908832', u'2908832', u'2908832']",2908832,17,2018-05-03T16:00:05.600Z,1.0
0.09,True,"[u'2785174', u'2785174', u'2785174']",2785174,18,2018-05-03T16:18:50.932Z,1.0
0.11,True,[],,19,2018-05-03T16:03:16.661Z,1.0
,False,,1673216,20,2018-05-03T16:01:45.484Z,1.0
0.11,True,[],,21,2018-05-03T15:55:08.224Z,1.0
0.09,True,"[u'4923816', u'4923816', u'4923816']",4923816,22,2018-05-03T15:53:56.118Z,1.0
0.11,True,[],,23,2018-05-03T16:24:29.704Z,1.0
0.12,True,"[u'2952100', u'2952100', u'2952100']",2952100,24,2018-05-03T15:54:24.720Z,1.0
0.08,True,[],,25,2018-05-03T16:06:36.707Z,1.0
0.12,True,"[u'6489151', u'6489151', u'6489151']",6489151,26,2018-05-03T15:53:36.457Z,1.0
0.11,True,[],,27,2018-05-03T16:13:10.224Z,1.0
0.12,True,"[u'3968845', u'38659975', u'39688742']",3968845,28,2018-05-03T15:54:44.898Z,1.0
0.13,True,[],,29,2018-05-03T16:01:10.481Z,1.0
0.11,True,[],,30,2018-05-03T16:03:53.669Z,1.0
0.12,True,"[u'5874092', u'5874092', u'5874092']",5874092,31,2018-05-03T15:54:22.129Z,1.0
0.11,True,[],,32,2018-05-03T15:54:58.759Z,1.0
0.1,True,"[u'8814821', u'884182', u'8814821']",8814821,33,2018-05-03T15:55:28.706Z,1.0
0.08,True,"[u'9442065', u'9446325', u'9442065']",9442065,34,2018-05-03T15:58:32.608Z,1.0
0.12,True,[],,35,2018-05-03T16:01:34.500Z,1.0
0.09,True,[],,36,2018-05-03T16:17:01.891Z,1.0
0.08,True,"[u'1111846', u'1111846', u'1111846']",1111846,37,2018-05-03T15:57:31.138Z,1.0
