color,correct,group,response,rt,time_elapsed,trial_type,pid
yellow,TRUE,daxby,d,3025,15192,robot,14
blue,TRUE,daxby,d,957,20150,robot,14
yellow,TRUE,daxby,d,743,24892,robot,14
blue,TRUE,daxby,d,664,29557,robot,14
blue,TRUE,daxby,d,582,34139,robot,14
blue,FALSE,kizik,d,910,39051,robot,14
blue,FALSE,kizik,d,1432,44482,robot,14
blue,TRUE,kizik,k,615,49098,robot,14
yellow,TRUE,daxby,d,1334,54433,robot,14
yellow,TRUE,daxby,d,814,59248,robot,14
blue,FALSE,daxby,k,840,64088,robot,14
blue,TRUE,daxby,d,615,68703,robot,14
yellow,FALSE,kizik,d,735,73438,robot,14
blue,TRUE,daxby,d,1174,78613,robot,14
blue,TRUE,daxby,d,582,83198,robot,14
yellow,TRUE,kizik,k,669,87868,robot,14
blue,FALSE,kizik,d,877,92748,robot,14
blue,FALSE,daxby,k,864,97613,robot,14
blue,TRUE,daxby,d,2864,36361,robot,23
blue,TRUE,daxby,d,742,41294,robot,23
yellow,TRUE,kizik,k,2270,47569,robot,23
blue,TRUE,daxby,d,541,52115,robot,23
blue,TRUE,daxby,d,480,56599,robot,23
yellow,TRUE,kizik,k,808,61411,robot,23
yellow,FALSE,daxby,k,521,65934,robot,23
blue,TRUE,daxby,d,403,70341,robot,23
blue,TRUE,daxby,d,461,74805,robot,23
blue,FALSE,kizik,d,414,79224,robot,23
blue,FALSE,kizik,d,409,83636,robot,23
yellow,FALSE,daxby,k,671,88312,robot,23
blue,FALSE,daxby,k,519,92834,robot,23
blue,TRUE,daxby,d,534,97373,robot,23
blue,FALSE,kizik,d,326,101792,robot,23
yellow,TRUE,daxby,d,145,105940,robot,23
yellow,TRUE,daxby,d,122,110068,robot,23
blue,FALSE,kizik,d,186,114259,robot,23
blue,TRUE,daxby,d,5036,87836,robot,13
yellow,TRUE,daxby,d,2003,93843,robot,13
blue,FALSE,kizik,d,1462,99307,robot,13
blue,FALSE,kizik,d,389,103699,robot,13
blue,TRUE,daxby,d,363,108067,robot,13
blue,TRUE,daxby,d,421,112490,robot,13
yellow,TRUE,daxby,d,486,116979,robot,13
blue,TRUE,daxby,d,3028,124010,robot,13
blue,TRUE,daxby,d,36,128050,robot,13
yellow,FALSE,kizik,d,1518,147202,robot,13
blue,TRUE,daxby,d,724,151930,robot,13
blue,TRUE,daxby,d,990,156923,robot,13
blue,FALSE,kizik,d,364,161292,robot,13
yellow,FALSE,kizik,d,371,165666,robot,13
blue,FALSE,kizik,d,557,170226,robot,13
blue,TRUE,daxby,d,335,174567,robot,13
yellow,TRUE,daxby,d,447,179020,robot,13
yellow,TRUE,daxby,d,387,183412,robot,13
yellow,TRUE,daxby,d,2890,104841,robot,9
