responses,rt,time_elapsed,trial_type,pid
{u'Q0': u'9388760'},26824.0,73156,survey-text-force,13
{u'Q0': u'9388760'},8182.0,137234,survey-text-force,13
{u'Q0': u'9388760'},6589.0,191002,survey-text-force,13
{u'Q0': u'3073663'},21256.0,89822,survey-text-force,9
{u'Q0': u'3073663'},9395.0,158335,survey-text-force,9
{u'Q0': u'3073663'},16634.0,225609,survey-text-force,9
"{""Q0"":""8992507""}",4863.0,8891,survey-text-force,42
"{""Q0"":""4"",""Q1"":""5""}",3572.0,209577,survey-text-force,42
"{""Q0"":""3"",""Q1"":""4""}",2689.0,213268,survey-text-force,42
"{""Q0"":""2"",""Q1"":""2""}",3623.0,217894,survey-text-force,42
{u'Q0': u'1444584'},15371.0,38928,survey-text-force,5
{u'Q0': u'1444584'},4859.0,93762,survey-text-force,5
{u'Q0': u'1444584'},4841.0,142870,survey-text-force,5
{u'Q0': u'6489151'},20144.0,46223,survey-text-force,26
{u'Q0': u'6489151'},4348.0,104393,survey-text-force,26
{u'Q0': u'6489151'},4375.0,162356,survey-text-force,26
{u'Q0': u'4923816'},24333.0,53027,survey-text-force,22
{u'Q0': u'4923816'},18612.0,127123,survey-text-force,22
{u'Q0': u'4923816'},5470.0,179987,survey-text-force,22
{u'Q0': u'5874092'},11917.0,37287,survey-text-force,31
{u'Q0': u'5874092'},7568.0,96629,survey-text-force,31
{u'Q0': u'5874092'},6310.0,148810,survey-text-force,31
{u'Q0': u'7099211'},18971.0,87995,survey-text-force,6
{u'Q0': u'7099211'},10955.0,149995,survey-text-force,6
{u'Q0': u'7099211'},4217.0,209114,survey-text-force,6
{u'Q0': u'8814821'},29868.0,53372,survey-text-force,33
{u'Q0': u'884182'},5894.0,159606,survey-text-force,33
{u'Q0': u'8814821'},4892.0,220744,survey-text-force,33
{u'Q0': u'3968845'},20088.0,211396,survey-text-force,28
{u'Q0': u'38659975'},8345.0,272210,survey-text-force,28
{u'Q0': u'39688742'},14265.0,350088,survey-text-force,28
{u'Q0': u'2952100'},8393.0,33256,survey-text-force,24
{u'Q0': u'2952100'},3258.0,90230,survey-text-force,24
{u'Q0': u'2952100'},2602.0,139918,survey-text-force,24
{u'Q0': u'1111846'},14607.0,41257,survey-text-force,37
{u'Q0': u'1111846'},6655.0,100559,survey-text-force,37
{u'Q0': u'1111846'},5558.0,151253,survey-text-force,37
{u'Q0': u'2765740'},26939.0,63727,survey-text-force,15
{u'Q0': u'2765740'},3066.0,122394,survey-text-force,15
{u'Q0': u'2765740'},2839.0,172415,survey-text-force,15
{u'Q0': u'2908832'},23775.0,41328,survey-text-force,17
{u'Q0': u'2908832'},12062.0,108358,survey-text-force,17
{u'Q0': u'2908832'},5507.0,164197,survey-text-force,17
{u'Q0': u'3566913'},23272.0,44042,survey-text-force,10
{u'Q0': u'3566913'},7998.0,104867,survey-text-force,10
{u'Q0': u'3566913'},6290.0,156398,survey-text-force,10
{u'Q0': u'9442065'},35612.0,73377,survey-text-force,34
{u'Q0': u'9446325'},29525.0,172535,survey-text-force,34
{u'Q0': u'9442065'},17697.0,248860,survey-text-force,34
{u'Q0': u'1673216'},4845.0,10972,survey-text-force,20
{u'Q0': u'4909386'},17311.0,36696,survey-text-force,16
{u'Q0': u'4909386'},5316.0,96146,survey-text-force,16
{u'Q0': u'4909386'},7331.0,157154,survey-text-force,16
{u'Q0': u'0824884'},14020.0,27699,survey-text-force,2
{u'Q0': u'0824884'},5193.0,88270,survey-text-force,2
{u'Q0': u'0824884'},3642.0,144016,survey-text-force,2
{u'Q0': u'0815371'},19007.0,47962,survey-text-force,0
{u'Q0': u'0815371\n'},9944.0,117744,survey-text-force,0
{u'Q0': u'0815371'},6154.0,175127,survey-text-force,0
{u'Q0': u'2674619'},55033.0,168518,survey-text-force,12
{u'Q0': u'267419'},9707.0,237588,survey-text-force,12
{u'Q0': u'2674619'},8035.0,297069,survey-text-force,12
{u'Q0': u'5014685\n\n5014685\n\n5014685\n\n5014685'},18504.0,32054,survey-text-force,8
{u'Q0': u'8654'},8995.0,89074,survey-text-force,8
{u'Q0': u'5014685\n\n5014685\n\n5014685'},17279.0,150149,survey-text-force,8
{u'Q0': u'2785174'},9424.0,18620,survey-text-force,18
{u'Q0': u'2785174'},3118.0,70508,survey-text-force,18
{u'Q0': u'2785174'},3344.0,117874,survey-text-force,18
