pid,assignment_id,worker_id
0,354P56DE9K3OD2D757MKY2IQVSAS73,A10TWCI2VE0LWJ
1,30LSNF239UVSXND5UJBBY9VVBENI2M,A1BQCRF5Q76YFY
2,3NC5L260MOMMU30KG93N2PL6WRRFOY,A1C1YCP428CQ7E
3,3SKEMFQBZ35UPX5IA35OLGNBPI48KQ,A1F1OZ54G177D8
4,3KYQYYSHYV7PWJMOP38XEPILKEBDOL,A1L3937MY09J3I
5,3V0Z7YWSIY0XJTX5TQAUDYLPJGJ2V3,A1YSYI926BBOHW
6,3BV8HQ2ZZW1196D85XV17OOOEBK6AN,A1ZD8RU6YB0VEU
7,3FTYUGLFSUL3O9G6KOCY5JIU3J65D8,A1ZT30BGR3266K
8,3KAKFY4PGU2HI59OYJPGHJ0NHSNI3X,A22HREFDIY7AZN
9,3LQ8PUHQFLSWCDGND4EILD1X0X5IH4,A250FES5PFCGK9
10,3KMS4QQVK2Q34CF5IHBUV84XCMHFKE,A26NGLGGFTATVN
11,3RWE2M8QWHADFELICCKPKTYX0FX0N0,A27MJOV91GA8R3
12,3YDGXNSEOZU9BVGFPBI8EZYFSWF48X,A2A4UAFZ5LW71K
13,3SLE99ER0ND8GQ2BDGS8ZX1P1X5BZH,A2CF2BD4Q0ZDJN
14,3F1567XTNW5GE5MNS0VZHYUV8UEQ9P,A2CJY4787IR70K
15,3OVHNO1VE611VN0VRCJEUNPP4IEDZN,A2EOOF9D135HQ1
16,3E13VNJ1NNVL82V9BFBXTQLQJ89I15,A2LR1HKNOVDTJ8
17,317HQ483I7SOM92YG29VQXYTM9EIND,A2M45YGLOWMO4N
18,37M28K1J0QDDX1SFPGPQGSTT0H4AJX,A2NAKIXS3DVGAA
19,3HRMW88U16Q7XW0I0B5P7E9XVPN0M0,A2P53AN2M8IWFP
20,3NC5L260MOMMU30KG93N2PL6WRRFOY,A2VQ1WGHLLLNJ1
21,3C44YUNSI1P7HJYP43LC3PNBUJ7DP2,A2YJZYTC8WOIZT
22,3907X2AHF05KE9097E1V76W7XSI2PI,A37S96RT1P1IT2
23,3U8YCDAGXPGYIBYAS4C6ONT25QK0QN,A3AEYHICO97IDU
24,336KAV9KYQSENNSAY1XEKXPJ1XL2YC,A3BJNFU4T7RU11
25,3JPSL1DZ5SZ9GRJ04EHI9ZAA919NAE,A3D9NTTKE35SRL
26,3FE7TXL1LIN5EL1O7RGK7BMH2O42Q9,A3GEL5PWFIK05S
27,3018Q3ZVOIQUVPBSXLYZIJFKAYYARP,A3L2UB07EZJAMD
28,384PI804XS1AVRDNK81BJN83NE50SC,A3QC57KUVJP5EW
29,35GMH2SV3EHUOP0OLYJHK706KQCEOF,A5NE8TWS8ZV7B
30,3W2LOLRXLBF072KE9CBOCXIGFASKRE,AAJC9VIP5DOP
31,39O5D9O87TSQ52NO69TU6G2S4N33CG,ABMX8XUNPR3LP
32,3KGTPGBS6XLX6E85O00PHCJ659A2UE,AHIM8PGYOIN0K
33,3F6HPJW4JD0AYIXAJ0FQZ043QPL2WD,AIZTLQM7HHQN6
34,3YDGXNSEOZU9BVGFPBI8EZYFSWE840,AJI76D4U5WGBZ
35,32N49TQG3GIMOWS96539JG4NV4BAVI,ALCOP0S6PFR2O
36,36AHBNMV1RC1QXQQVQHVGGGNYOADYW,AR1IWBDA7MC86
37,31HQ4X3T3SANSN2991NUH70RQCFSLC,AU7A3QNJF3O00
